=== DATABASE OF DEVICES (Android & iOS) ===
Total Android Devices: 212
Total iOS Devices: 32
--------------------------------------------------

--- ANDROID DEVICES ---
Brand/Model                              | Launch OS  | Max OS     | Status
--------------------------------------------------------------------------------
Asus ROG Phone 3                         | 10.0       | 12         | OK (11-15)
Asus ROG Phone 5                         | 11.0       | 13         | OK (11-15)
Asus ROG Phone 6                         | 12.0       | 14         | OK (11-15)
Asus ROG Phone 7                         | 13.0       | 15         | OK (11-15)
Asus ROG Phone 8                         | 14.0       | 14         | OK (11-15)
Asus ROG Phone 8 Pro                     | 14.0       | 14         | OK (11-15)
Asus ROG Phone II                        | 9.0        | 11         | OK (11-15)
Asus Zenfone 10                          | 13.0       | 15         | OK (11-15)
Asus Zenfone 11 Ultra                    | 14.0       | 14         | OK (11-15)
Asus Zenfone 6                           | 9.0        | 11         | OK (11-15)
Asus Zenfone 7 Pro                       | 10.0       | 12         | OK (11-15)
Asus Zenfone 8                           | 11.0       | 13         | OK (11-15)
Asus Zenfone 9                           | 12.0       | 14         | OK (11-15)
Google Pixel 3                           | 9.0        | 12         | OK (11-15)
Google Pixel 3a                          | 9.0        | 12         | OK (11-15)
Google Pixel 4                           | 10.0       | 13         | OK (11-15)
Google Pixel 4a                          | 10.0       | 13         | OK (11-15)
Google Pixel 5                           | 11.0       | 14         | OK (11-15)
Google Pixel 5a                          | 11.0       | 14         | OK (11-15)
Google Pixel 6                           | 12.0       | 15         | OK (11-15)
Google Pixel 6 Pro                       | 12.0       | 15         | OK (11-15)
Google Pixel 6a                          | 12.0       | 15         | OK (11-15)
Google Pixel 7                           | 13.0       | 15         | OK (11-15)
Google Pixel 7 Pro                       | 13.0       | 15         | OK (11-15)
Google Pixel 7a                          | 13.0       | 15         | OK (11-15)
Google Pixel 8                           | 14.0       | 15         | OK (11-15)
Google Pixel 8 Pro                       | 14.0       | 15         | OK (11-15)
Google Pixel 8a                          | 14.0       | 15         | OK (11-15)
Google Pixel 9                           | 15.0       | 15         | OK (11-15)
Google Pixel 9 Pro                       | 15.0       | 15         | OK (11-15)
Google Pixel 9 Pro Fold                  | 15.0       | 15         | OK (11-15)
Google Pixel 9a                          | 15.0       | 15         | OK (11-15)
Google Pixel Fold                        | 13.0       | 15         | OK (11-15)
Honor 100 Pro                            | 13.0       | 15         | OK (11-15)
Honor 200 Pro                            | 14.0       | 15         | OK (11-15)
Honor 30 Pro                             | 10.0       | 11         | OK (11-15)
Honor 50                                 | 11.0       | 13         | OK (11-15)
Honor 60 Pro                             | 11.0       | 13         | OK (11-15)
Honor 70                                 | 12.0       | 14         | OK (11-15)
Honor 80 Pro                             | 12.0       | 14         | OK (11-15)
Honor 90                                 | 13.0       | 15         | OK (11-15)
Honor Magic 4 Pro                        | 12.0       | 14         | OK (11-15)
Honor Magic 5 Pro                        | 13.0       | 15         | OK (11-15)
Honor Magic 6 Pro                        | 14.0       | 15         | OK (11-15)
Honor Magic V2                           | 13.0       | 15         | OK (11-15)
Honor Magic V3                           | 14.0       | 15         | OK (11-15)
Infinix GT 10 Pro                        | 13.0       | 14         | OK (11-15)
Infinix GT 20 Pro                        | 14.0       | 15         | OK (11-15)
Infinix Hot 11                           | 11.0       | 12         | OK (11-15)
Infinix Hot 20                           | 12.0       | 13         | OK (11-15)
Infinix Hot 40 Pro                       | 13.0       | 14         | OK (11-15)
Infinix Note 10 Pro                      | 11.0       | 12         | OK (11-15)
Infinix Note 12 VIP                      | 12.0       | 13         | OK (11-15)
Infinix Note 30 VIP                      | 13.0       | 15         | OK (11-15)
Infinix Note 40 Pro+                     | 14.0       | 15         | OK (11-15)
Infinix Note 7                           | 10.0       | 11         | OK (11-15)
Infinix Zero 30 5G                       | 13.0       | 15         | OK (11-15)
Infinix Zero 40                          | 14.0       | 15         | OK (11-15)
Infinix Zero 8                           | 10.0       | 11         | OK (11-15)
Infinix Zero Ultra                       | 12.0       | 13         | OK (11-15)
Infinix Zero X Pro                       | 11.0       | 12         | OK (11-15)
Motorola Edge 20 Pro                     | 11.0       | 13         | OK (11-15)
Motorola Edge 30 Pro                     | 12.0       | 14         | OK (11-15)
Motorola Edge 40 Pro                     | 13.0       | 15         | OK (11-15)
Motorola Edge 50 Pro                     | 14.0       | 15         | OK (11-15)
Motorola Edge+ (2020)                    | 10.0       | 12         | OK (11-15)
Motorola Moto G Power 5G (2024)          | 14.0       | 15         | OK (11-15)
Motorola Moto G Stylus 5G (2024)         | 14.0       | 15         | OK (11-15)
Motorola Moto G100                       | 11.0       | 12         | OK (11-15)
Motorola Moto G84                        | 13.0       | 14         | OK (11-15)
Motorola Razr (2019)                     | 9.0        | 11         | OK (11-15)
Motorola Razr 2022                       | 12.0       | 14         | OK (11-15)
Motorola Razr 40 Ultra                   | 13.0       | 15         | OK (11-15)
Motorola Razr 50 Ultra                   | 14.0       | 15         | OK (11-15)
Motorola ThinkPhone                      | 13.0       | 15         | OK (11-15)
OnePlus 10 Pro                           | 12.0       | 15         | OK (11-15)
OnePlus 10T                              | 12.0       | 15         | OK (11-15)
OnePlus 11                               | 13.0       | 15         | OK (11-15)
OnePlus 12                               | 14.0       | 15         | OK (11-15)
OnePlus 6                                | 8.1        | 11         | OK (11-15)
OnePlus 6T                               | 9.0        | 11         | OK (11-15)
OnePlus 7 Pro                            | 9.0        | 12         | OK (11-15)
OnePlus 7T                               | 10.0       | 12         | OK (11-15)
OnePlus 8 Pro                            | 10.0       | 13         | OK (11-15)
OnePlus 8T                               | 11.0       | 14         | OK (11-15)
OnePlus 9 Pro                            | 11.0       | 14         | OK (11-15)
OnePlus Nord                             | 10.0       | 12         | OK (11-15)
OnePlus Nord 2                           | 11.0       | 13         | OK (11-15)
OnePlus Nord 3                           | 13.0       | 15         | OK (11-15)
OnePlus Nord 4                           | 14.0       | 15         | OK (11-15)
OnePlus Open                             | 13.0       | 15         | OK (11-15)
Oppo Find N2 Flip                        | 13.0       | 15         | OK (11-15)
Oppo Find N3                             | 13.0       | 15         | OK (11-15)
Oppo Find X2 Pro                         | 10.0       | 13         | OK (11-15)
Oppo Find X3 Pro                         | 11.0       | 14         | OK (11-15)
Oppo Find X5 Pro                         | 12.0       | 15         | OK (11-15)
Oppo Find X6 Pro                         | 13.0       | 15         | OK (11-15)
Oppo Find X7 Ultra                       | 14.0       | 15         | OK (11-15)
Oppo Reno 10 Pro                         | 13.0       | 15         | OK (11-15)
